key,zh_CN,,
About,关于,,
Animation,动画,,
Audio,音频,,
Basic Concepts,基本概念,,
Basic Controls,基本控制,,
BG Color,背景色,,
Bounce,弹跳,,
Experimental,实验性,,
FAQ,FAQ,,
Files,文件,,
Import,导入,,
Light,灯光,,
Misc,杂项,,
Mode,模式,,
Model,模型,,
Model Settings,模型设置,,
Movement,运动,,
Properties,属性,,
Remix Settings,Remix设置,,
Settings,设置,,
Shortcuts,快捷键,,
TR_ABOUT_FULL,一款PNGTubing软件，为极尽所能的轻便易用而生。我更喜欢把模型称为木偶或纸娃娃模型。,,
TR_ABOUT,关于,,
TR_ACHROMATOPSIA,全色盲,,
TR_ADD_APPENDAGE,新增附件图像,,
TR_ADD_IMAGE,新增图像,,
TR_ADD_KEY,新增按键,,
TR_ADD_NEW_STATE,新增状态,,
TR_ADD,新增,,
TR_ADVANCED_LIP_SYNC_TOOLTIP,只有当嘴的形状在精灵表中时才有效。14帧\n(检查嘴型同步配置),,
TR_ADVANCED_LIP_SYNC,高级嘴型同步,,
TR_ALWAYS_ON_TOP,窗口始终置顶,,
TR_AMOUNT,数量,,
TR_ANCHOR_LABEL,锚点: ,,
TR_ANIMATE_TO_MOUSE_TOOLTIP,根据“跟随移动”的设置来改变精灵表动画,,
TR_ANIMATE_TO_MOUSE,动画跟随,,
TR_ANIMATION_BOUNCY,持续弹跳,,
TR_ANIMATION_FRAMES_H,水平动画帧,,
TR_ANIMATION_FRAMES_V,垂直动画帧,,
TR_ANIMATION_ONE_BOUNCE,一次弹跳,,
TR_ANIMATION_ONE_SHOT_TOOLTIP,"将任何动画类型(APNG、GIF或SpriteSheet)设置为只播放一次。",,
TR_ANIMATION_ONE_SHOT,只播放一次,,
TR_ANIMATION_RESET,动画重置,,
TR_ANIMATION_SPEED,动画速度,,
TR_ANIMATION_SQUISH,挤压,,
TR_ANIMATION_WOBBLE,摇晃,,
TR_ANIMATION,动画,,
TR_ANTI_ALIASING,抗锯齿,,
TR_ARROW_KEYS_LR,方向键 (左右),,
TR_ARROW_KEYS_UD,方向键 (上下),,
TR_ARROW_KEYS,方向键,,
TR_ASSET_MODEL_DEMO,资产演示模型,,
TR_ASSETS,资产,,
TR_AURA,光环,,
TR_AUTO_LOAD_MODEL,自动加载模型,,
TR_AUTO_ROTATION,自动旋转,,
TR_AUTO_SAVE,自动保存,,
TR_AUTO_WAG,自动摇摆,,
TR_BASIC_CONCEPTS_FULL,"好的，请耐心听我说！您可能已经注意到这里的许多的频率和振幅滑块。如果您不知道它们是如何工作的，这里有一个非常基本的解释！振幅是主要值，物体将达到多高或多低，频率是放大器在给定时间内从+到-的速度。",,
TR_BASIC_CONTROLS_FULL,精灵的控制操作：\n-移动精灵：单击并拖动。\n-移动原点：按方向键或按住键盘上的Ctrl键并点击原点所在的位置。\n-在滑块上的滚动鼠标滚轮，以获得更准确的结果。\n\n输入重映射：\n-点击所需状态的按钮。\n\n要重新映射并添加新按钮，请执行以下操作：\n-使用输入更改状态：如果启用，则在最小化时捕获输入。\n\n控制反弹：\n—单击右侧"模型"栏，根据需要更改反弹和重力。\n\n鼠标控制：\n-滚动滚轮以放大/缩小。\n-鼠标中键平移视角。,,
TR_BASIC_DEMO,基本演示,,
TR_BG_COLOR,背景色,,
TR_BG_TEMP_BUTTON,带背景的演示模型,,
TR_BIND_KEY,绑定按键,,
TR_BLEND_ADD,增加,,
TR_BLEND_BURN,加深,,
TR_BLEND_CURSED,排除,,
TR_BLEND_HARDMIX,实色混合,,
TR_BLEND_LABEL,混合模式:,,
TR_BLEND_MULTIPLY,正片叠底,,
TR_BLEND_NORMAL,正常,,
TR_BLEND_SUBTRACT,减去,,
TR_BLEND_TOOLTIP,"混合模式正在开发中。\n - 正片叠底也将应用于（此层和背景层）透明度，产生蒙版效果\n - 加深、实色混合、排除未完成",,
TR_BLEND,混合 :,,
TR_BLIND_KEY,绑定按键,,
TR_BLINK_CHANCE,眨眼几率 : ,,
TR_BLINK_SPEED,眨眼速度 : ,,
TR_BLUE,蓝色,,
TR_BOUNCE_AMOUNT_TOOLTIP,影响模型弹跳,,
TR_BOUNCE_AMOUNT,弹跳幅度,,
TR_BOUNCE_GRAVITY_LABEL,弹跳重力 :,,
TR_BOUNCE_GRAVITY,弹跳重力,,
TR_BOUNCE_LABEL,弹跳幅度 :,,
TR_BOUNCE_WHEN_CHANGING_STATES,更改状态时弹跳,,
TR_BOUNCE,弹跳,,
TR_CANCEL,取消,,
TR_CENTER_WINDOW,窗口置于中心,,
TR_CHOOSE_DEMO,选择演示模型 :,,
TR_CLIP_CHILDREN,裁剪子对象,,
TR_CLOSED_LOOP,闭环,,
TR_CLOSED,闭合,,
TR_COLLAB,协作,,
TR_COLOR_BLINDNESS_HELPER_TOOLTIP,色盲辅助功能旨在帮助色盲用户和观众观看模型。,,
TR_COLOR_BLINDNESS_HELPER_TOOLTIP,色盲辅助功能旨在帮助色盲用户和观众观看模型。,,
TR_COLOR_BLINDNESS_HELPER,色盲辅助功能 :,,
TR_COLOR,颜色 :,,
TR_COMEBACK_LABEL,复位力度 :,,
TR_CONTROLLER_LEFT,控制器 (左),,
TR_CONTROLLER_RIGHT,控制器 (右),,
TR_CREDITS,致谢,,
TR_CURVATURE_LABEL,曲率 :,,
TR_CUSTOM,自定义,,
TR_CYCLE_BACKWARD_LABEL,向后循环 :,,
TR_CYCLE_FORWARD_LABEL,向前循环 :,,
TR_CYCLE_LABEL,循环 :,,
TR_CYCLE_TOGGLE_LABEL,切换循环 :,,
TR_DAMP_LABEL,阻尼 :,,
TR_DARKEN,变暗,,
TR_DELAY,延迟,,
TR_DELETE_KEY,删除绑键,,
TR_DELETE_STATE,删除状态,,
TR_DELETE,删除,,
TR_DEMO_MODEL,演示模型,,
TR_DESELECT,取消选中,,
TR_DETECT_HOTKEYS_TOOLTIP,使软件能够使用热键更改状态和其他切换效果。,,
TR_DETECT_HOTKEYS,检测热键,,
TR_DEUTERANOPIA,绿色盲,,
TR_DISABLED,禁用,,
TR_DISAPPEAR_KEYS,消失按键,,
TR_DONT_HIDE_ON_TOGGLE_TOOLTIP,仅显示资源，即使再次按下绑定的按键也不会隐藏。,,
TR_DONT_HIDE,不要隐藏,,
TR_DUPLICATE_STATE,复制状态,,
TR_EDIT_VALUES_FOR_LABEL,编辑值 :,,
TR_EDITOR,编辑器,,
TR_EFFECT_COLOR_LABEL,效果颜色 :,,
TR_EFFECT_COLOR,效果颜色 :,,
TR_EFFECT_HYPER,Hyper,,
